InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV1,2025-11-15,S40,P8891,Accessories,4,2153,30.0,1621.8112470084793,New,Digital
INV2,2025-04-17,S47,P8768,Accessories,1,2862,30.0,1841.123269732111,,Card
INV3,2024-03-13,S16,P8599,Clothing,2,2440,30.0,1234.7998669263186,,Cash
INV4,2024-06-26,S33,P4337,Accessories,4,1297,0.0,952.2039024930599,,Digital
INV5,2024-09-01,S37,P8221,Accessories,4,1707,0.0,964.3954365007208,Returning,Cash
INV6,2024-09-30,S02,P9622,Shoes,4,888,0.0,625.636927681168,New,Digital
INV7,2025-09-03,S48,P6251,Clothing,2,584,,403.1248149541251,Returning,Cash
INV8,2024-05-23,S42,P6795,Clothing,1,873,0.0,608.3927194809552,Returning,Digital
INV9,2024-09-13,S35,P1973,Clothing,2,1816,,960.354412620631,Returning,Card
INV10,2025-01-18,S24,P6819,Shoes,1,2430,0.0,1421.1662757182025,Returning,Digital
INV11,2024-05-03,S28,P7926,Accessories,4,2466,0.0,1652.1717558220244,,Cash
INV12,2024-03-27,S33,P6302,Clothing,4,1372,0.0,960.7061123930514,New,Digital
INV13,2025-07-08,S25,P9829,Shoes,4,1708,0.0,938.5154918279416,New,Digital
INV14,2024-09-26,S27,P7594,Clothing,1,2844,0.0,2067.1102312056532,New,Cash
INV15,2024-09-17,S46,P5939,Clothing,4,1249,20.0,668.0408555317642,New,Card
INV16,2024-05-29,S20,P3721,Clothing,3,525,20.0,355.183250898328,New,Card
INV17,2024-11-22,S16,P7185,Shoes,2,2835,0.0,1978.9775936375286,Returning,Digital
INV18,2024-04-21,S25,P6103,Shoes,2,1653,20.0,1111.3078909045062,New,Digital
INV19,2025-12-02,S44,P1623,Clothing,2,2580,0.0,1367.0664749717678,New,Card
INV20,2025-10-25,S04,P1807,Accessories,2,807,10.0,612.9003508653635,,Digital
INV21,2025-12-31,S46,P1199,Accessories,3,2295,30.0,1819.1465561944872,Returning,Cash
INV22,2024-03-29,S35,P9389,Shoes,2,2780,0.0,1539.6948776054917,New,Cash
INV23,2025-03-22,S28,P1168,Clothing,1,2737,0.0,1394.6429450381568,New,Card
INV24,2024-11-19,S50,P4361,Shoes,4,1008,10.0,665.9753596347474,Returning,Cash
INV25,2025-05-24,S03,P7235,Accessories,3,2617,10.0,1480.2401333207395,New,Digital
INV26,2025-02-18,S50,P7237,Shoes,2,1467,0.0,1039.9607694276838,New,Card
INV27,2025-05-13,S42,P4968,Shoes,1,2511,30.0,1659.7051197282005,Returning,Digital
INV28,2024-06-13,S28,P7011,Shoes,3,1715,0.0,1022.1488240981596,Returning,Cash
INV29,2025-03-31,S12,P1732,Clothing,4,2117,10.0,1490.2914427639394,,Digital
INV30,2025-04-15,S09,P1573,Accessories,1,2058,0.0,1044.844162126868,Returning,Cash
INV31,2024-07-26,S27,P1586,Clothing,4,1663,0.0,1262.4775617951002,New,Card
INV32,2025-01-08,S19,P1941,Accessories,3,937,20.0,503.5905724604632,,Card
INV33,2024-04-04,S50,P9393,Clothing,4,2884,0.0,1481.465784062947,New,Digital
INV34,2025-07-04,S23,P9696,Accessories,4,2172,,1628.8076243371193,Returning,Digital
INV35,2024-07-28,S46,P3711,Clothing,4,1997,10.0,1129.345150317823,Returning,Cash
INV36,2024-11-01,S38,P2053,Accessories,4,2066,30.0,1341.74731176953,Returning,Digital
INV37,2025-05-17,S37,P4793,Clothing,4,2685,10.0,1559.565684053264,New,Digital
INV38,2025-07-31,S11,P5333,Clothing,1,1304,,989.2893216153626,New,Cash
